Consulta 1: 
"año","mes","atenciones_perdidas"
"2024","1","58"
"2024","2","54"
"2024","3","42"
"2024","4","52"
"2024","5","51"
"2024","6","41"
"2024","7","54"
"2024","8","54"
"2024","9","59"
"2024","10","63"
"2024","11","42"
"2024","12","51"
"2025","1","51"
"2025","2","53"
"2025","3","55"
"2025","4","36"
"2025","5","56"
"2025","6","49"
"2025","7","52"
"2025","8","39"

Consulta 2:
"ID","Nombres","Apellidos","cuenta"
669,"Miguel","Díaz","2"
1911,"Carmen","Valenzuela","2"
688,"Luis","Sepúlveda Martínez","2"
2923,"Miguel","Espinoza Morales","2"
704,"Daniel Daniel","Martínez Soto","2"
1126,"Lucía","Morales Torres","2"
1277,"Javier Sofía","Sepúlveda","2"
887,"José","Flores","2"
893,"Lucía","Valenzuela Valenzuela","2"
1772,"Marta Ana","Soto","2"
371,"Javier Antonio","Rojas","2"
1822,"Ana","Valenzuela Hernández","2"
2824,"Daniel Ana","Valenzuela Rojas","2"
2897,"Paula","Torres Sepúlveda","2"
2899,"Lucía Paula","Martínez Flores","2"
2808,"Sofía","Rodríguez Rojas","2"
2479,"Marta Daniel","Torres Díaz","2"
320,"Luis José","Díaz","2"
2046,"Juan Javier","Sepúlveda Morales","2"
2364,"José","Pérez López","2"
2787,"Diego","Araya Díaz","2"
559,"Pedro Ana","Martínez Rojas","2"
1984,"Marta","Espinoza Rodríguez","2"
2539,"Diego Javier","Espinoza Muñoz","2"
2284,"Andrés","Espinoza Espinoza","2"
1755,"Miguel","Araya","2"
2342,"José Daniel","Rojas Valenzuela","2"
570,"Isabel","Rojas","2"
1759,"Laura","González","2"
52,"Lucía","Contreras González","2"
197,"José","López","2"
684,"Paula","Sepúlveda Díaz","2"
1626,"Diego Juan","Rodríguez Fuentes","2"
2361,"Paula","Muñoz González","2"
589,"Pedro","Muñoz","2"
55,"Marta Antonio","Fuentes Rojas","2"
2267,"María Andrés","Fuentes","2"
2925,"Carmen","Torres Díaz","2"
69,"Antonio Antonio","Pérez Espinoza","2"
1645,"Marta","Valenzuela Soto","2"
878,"Antonio","Rojas Sepúlveda","2"
514,"Antonio","Espinoza Araya","2"
1169,"Isabel","Espinoza","2"
2980,"Diego","López","2"
1414,"María","Muñoz Soto","2"
753,"Antonio","Flores Muñoz","2"
1579,"Carmen Isabel","Silva Espinoza","1"
784,"Andrés Isabel","Flores Soto","1"
1571,"José Luis","Silva Silva","1"
2243,"Laura Laura","Fuentes Contreras","1"
188,"Luis","Rodríguez Silva","1"
1057,"Luis","Flores Pérez","1"
328,"Javier","González Valenzuela","1"
2310,"Javier","Hernández Morales","1"
1467,"Antonio Javier","López","1"
525,"Carmen","Valenzuela Pérez","1"
1771,"Carmen Marta","Pérez Valenzuela","1"
703,"Francisco Laura","Silva","1"
226,"Marta","Torres Contreras","1"
210,"Juan Javier","Torres Díaz","1"
48,"Francisco","Torres Morales","1"
447,"Andrés Luis","López Contreras","1"
1647,"Paula","González","1"
1684,"Laura","Pérez","1"
1015,"Javier Francisco","Araya","1"
954,"José","Fuentes López","1"
2129,"María","Martínez Rodríguez","1"
1218,"Antonio Juan","Pérez López","1"
2440,"María Juan","Martínez","1"
1495,"Pedro Laura","Pérez Espinoza","1"
5,"José","Rojas López","1"
456,"Diego Paula","Muñoz Valenzuela","1"
1896,"Sofía Diego","Sepúlveda Valenzuela","1"
1281,"Pedro","Díaz","1"
2837,"María","Contreras","1"
283,"Sofía","Soto Araya","1"
807,"Paula","Rojas","1"
1658,"Andrés","Morales Flores","1"
1173,"Pedro","Contreras Araya","1"
2395,"Daniel Marta","Araya","1"
785,"Pedro","López Martínez","1"
643,"Andrés Luis","Flores Flores","1"
537,"Francisco","Pérez Torres","1"
2570,"José Ana","Hernández Flores","1"
1401,"Marta","Díaz","1"
373,"José","Muñoz","1"
1345,"Pedro","López","1"
1086,"Marta","Sepúlveda Araya","1"
2078,"Miguel José","Contreras Soto","1"
2950,"Andrés","Araya Silva","1"
609,"Luis","Soto Rojas","1"
2474,"Sofía","González","1"
195,"Isabel Pedro","Muñoz Hernández","1"
1757,"Andrés Sofía","Soto Sepúlveda","1"
1097,"Lucía Andrés","Silva","1"
2673,"Isabel Laura","Sepúlveda","1"
2924,"Daniel","Pérez Silva","1"
2412,"Luis Antonio","Fuentes Rodríguez","1"
902,"Miguel Carmen","Flores","1"
1309,"Miguel","Morales Rojas","1"
2789,"Antonio","Martínez","1"
740,"Miguel","Valenzuela Rodríguez","1"
2320,"Antonio Ana","Pérez Díaz","1"
2490,"José","Morales Pérez","1"
856,"Marta","Silva Contreras","1"
230,"Paula","Silva","1"
1949,"Sofía","López Valenzuela","1"
2786,"Daniel Lucía","Pérez Martínez","1"
2236,"Francisco","Pérez Soto","1"
2295,"Andrés Javier","Martínez Silva","1"
1356,"Isabel","Fuentes Torres","1"
994,"Juan","Rojas","1"
1099,"Marta","González","1"
1246,"Lucía Isabel","Torres","1"
2653,"Luis Javier","Morales","1"
1556,"Carmen","González Valenzuela","1"
708,"Javier","Flores Pérez","1"
370,"Ana Sofía","Sepúlveda Flores","1"
1630,"Ana Paula","Morales Silva","1"
1592,"Antonio","Silva","1"
713,"José","Contreras Sepúlveda","1"
1935,"Javier","Rojas Araya","1"
2776,"Marta Diego","Sepúlveda Pérez","1"
132,"Marta","López Fuentes","1"
1234,"Miguel","Contreras Rodríguez","1"
1056,"Lucía","Hernández","1"
916,"Sofía Laura","Silva González","1"
863,"Juan Juan","López","1"
1106,"Andrés Ana","López González","1"
289,"Carmen","Valenzuela Martínez","1"
2996,"Francisco","González Muñoz","1"
583,"Ana María","Pérez Martínez","1"
1202,"Marta Luis","Silva Rodríguez","1"
3000,"Javier Carmen","Morales","1"
527,"Francisco","Soto Martínez","1"
147,"Diego","Muñoz","1"
2711,"Andrés","Díaz Morales","1"
2442,"María","Torres Morales","1"
1470,"Pedro","Espinoza Valenzuela","1"
950,"Juan","Sepúlveda Soto","1"
232,"Daniel","Díaz","1"
2698,"Antonio Diego","Pérez Rojas","1"
832,"Miguel","Rodríguez","1"
2656,"Lucía Isabel","Díaz Rojas","1"
2942,"Andrés Lucía","Silva","1"
2242,"Pedro María","Sepúlveda Hernández","1"
813,"Isabel Andrés","Díaz","1"
2940,"Pedro","Rodríguez Torres","1"
1568,"Diego","Martínez","1"
333,"Sofía","González Rojas","1"
2319,"Pedro","Pérez Pérez","1"
1446,"Carmen","Silva González","1"
2863,"Laura","González Sepúlveda","1"
1297,"Javier Isabel","Martínez Sepúlveda","1"
2527,"Laura","Díaz","1"
1241,"Francisco","Rodríguez Flores","1"
848,"Marta","Torres Rojas","1"
2133,"Lucía Pedro","López","1"
430,"Javier","Valenzuela","1"
158,"Daniel","Martínez Pérez","1"
2943,"Ana","Soto Rodríguez","1"
459,"Antonio Sofía","González Morales","1"
1588,"Sofía","Valenzuela Silva","1"
2939,"Javier","Silva","1"
979,"José","Espinoza","1"
2135,"Laura","Flores Espinoza","1"
2103,"Carmen","Sepúlveda Martínez","1"
1180,"Luis","Pérez","1"
1758,"Luis","Soto Díaz","1"
2163,"Isabel","Pérez Rodríguez","1"
2692,"Ana","Hernández Rojas","1"
157,"Lucía","Espinoza Contreras","1"
2134,"Daniel","Rojas Morales","1"
1909,"Luis Miguel","Sepúlveda Rodríguez","1"
313,"Lucía Juan","Silva","1"
248,"Paula","Flores","1"
392,"Javier","López González","1"
24,"Laura","Torres Díaz","1"
1500,"Isabel","Martínez Torres","1"
1736,"Ana Andrés","Valenzuela Rojas","1"
2069,"Miguel Juan","Rodríguez Silva","1"
580,"José Pedro","Díaz Soto","1"
2949,"Isabel","Contreras Fuentes","1"
742,"Antonio","Díaz Valenzuela","1"
912,"Ana","Valenzuela González","1"
846,"Laura Carmen","Fuentes","1"
87,"Pedro","Contreras","1"
2640,"Isabel","Rojas Díaz","1"
272,"Miguel Juan","Sepúlveda Rodríguez","1"
1362,"Sofía","Valenzuela Torres","1"
2414,"Diego","Morales Torres","1"
2606,"Daniel","Morales Torres","1"
2491,"Luis","Rojas Silva","1"
2846,"Juan Antonio","Espinoza Contreras","1"
2595,"Luis","Valenzuela","1"
406,"Laura","Hernández Hernández","1"
2094,"Lucía Francisco","Sepúlveda","1"
670,"Carmen","Fuentes","1"
1933,"Carmen","Hernández","1"
2813,"Laura","Muñoz Rodríguez","1"
1573,"Antonio","Rodríguez Rojas","1"
2365,"Lucía","González","1"
1905,"Javier Javier","Pérez Flores","1"
1348,"Javier","Hernández Rodríguez","1"
961,"Luis Marta","Silva Pérez","1"
2403,"Ana","González Valenzuela","1"
733,"Luis Miguel","Martínez Morales","1"
261,"Lucía","Valenzuela","1"
1872,"Antonio","Torres","1"
2394,"José Luis","Espinoza Martínez","1"
125,"Lucía","Martínez","1"
40,"Diego","Morales López","1"
1485,"Sofía","Hernández Hernández","1"
1308,"Ana","López","1"
2115,"Daniel","Silva","1"
728,"Isabel","Contreras","1"
2992,"Javier José","Hernández Hernández","1"
2547,"Juan","González Díaz","1"
1978,"Daniel","López Díaz","1"
1501,"Javier","Sepúlveda Silva","1"
242,"Juan","Hernández Fuentes","1"
599,"Antonio","Valenzuela Torres","1"
2146,"Ana","López Rojas","1"
2690,"Laura","López Espinoza","1"
2826,"Javier","Silva Soto","1"
1486,"Ana","Hernández Morales","1"
1525,"Laura","Sepúlveda","1"
1028,"Francisco Javier","López Díaz","1"
844,"Lucía","Fuentes","1"
2265,"Pedro","Contreras Martínez","1"
107,"Carmen José","Silva Muñoz","1"
86,"Isabel","Sepúlveda López","1"
2524,"Sofía","Fuentes Fuentes","1"
458,"Paula","Rojas","1"
368,"Juan Lucía","Rodríguez","1"
2917,"Luis","Muñoz","1"
1452,"Marta","Hernández","1"
1850,"Andrés","Pérez Sepúlveda","1"
1846,"Daniel","Rodríguez Sepúlveda","1"
595,"Carmen","Rojas Pérez","1"
2167,"Miguel","Hernández Pérez","1"
142,"Miguel Juan","Espinoza López","1"
924,"Juan","Fuentes Rojas","1"
2748,"Luis","López Silva","1"
2211,"Daniel Ana","Flores","1"
1965,"Ana","Rojas Martínez","1"
1291,"Luis","Hernández Díaz","1"
193,"Luis","Muñoz Muñoz","1"
1449,"Daniel","Díaz Fuentes","1"
1769,"Paula","Flores Martínez","1"
1457,"Sofía","Rodríguez Díaz","1"
1635,"Juan","González Muñoz","1"
2877,"Luis Antonio","Valenzuela","1"
2101,"Antonio","Pérez Flores","1"
1276,"Juan","Espinoza Rodríguez","1"
110,"Carmen","Valenzuela Pérez","1"
2845,"Francisco","Martínez Rojas","1"
931,"Juan Francisco","Sepúlveda Soto","1"
557,"Paula Miguel","Muñoz Fuentes","1"
1189,"Isabel","Rojas Araya","1"
1654,"Paula","Torres Torres","1"
2763,"Daniel","Torres","1"
2234,"Ana","Fuentes","1"
2106,"Miguel","Rojas","1"
1506,"Antonio","Muñoz Fuentes","1"
170,"Sofía","González Rodríguez","1"
762,"María","Flores","1"
192,"Andrés","Hernández Díaz","1"
101,"Ana","Valenzuela","1"
2170,"Andrés","Morales","1"
1575,"Andrés","Rojas Silva","1"
2369,"María","Valenzuela Pérez","1"
679,"Lucía","Pérez López","1"
2264,"María","Martínez Araya","1"
2415,"Antonio Juan","López Torres","1"
1835,"Paula Paula","Araya Sepúlveda","1"
1376,"Carmen Paula","López Martínez","1"
2823,"Paula María","López","1"
782,"Juan","Hernández","1"
1160,"Laura Luis","Araya Valenzuela","1"
1359,"Ana","Contreras Rodríguez","1"
982,"Isabel Luis","Contreras","1"
1806,"María","Contreras González","1"
11,"Antonio","Pérez Silva","1"
1384,"Laura Laura","Valenzuela Silva","1"
1492,"Francisco","Hernández Hernández","1"
2709,"Paula","Muñoz","1"
2043,"Pedro","Pérez Silva","1"
1141,"Andrés","Soto Silva","1"
1329,"Antonio","Espinoza González","1"
2613,"Andrés","Soto Araya","1"
1490,"Daniel","Sepúlveda Espinoza","1"
897,"Daniel","Contreras López","1"
1562,"Francisco","Hernández González","1"
2848,"Laura Ana","Fuentes Espinoza","1"
2136,"Pedro","Flores Rojas","1"
2245,"Pedro","Muñoz","1"
302,"Andrés Marta","Araya","1"
2294,"Marta María","Rojas","1"
2324,"José","Fuentes","1"
21,"Antonio Luis","Valenzuela López","1"
2119,"Javier","Valenzuela","1"
1814,"Marta Sofía","Espinoza Contreras","1"
2989,"Isabel","Contreras Morales","1"
774,"Ana","Hernández Soto","1"
2880,"Miguel","Espinoza González","1"
1672,"Andrés","Rodríguez","1"
2162,"Ana Pedro","Valenzuela Morales","1"
2378,"Daniel","Torres Silva","1"
2928,"Ana Ana","Espinoza Silva","1"
620,"Juan Francisco","Espinoza Silva","1"
894,"Luis","Pérez","1"
2753,"Pedro Laura","Torres","1"
2085,"José Javier","Díaz Rojas","1"
1127,"Daniel","Flores","1"
2651,"Carmen Luis","Araya Flores","1"
2360,"Isabel","Hernández","1"
1720,"Daniel","Soto Espinoza","1"
1885,"Sofía","Flores","1"
598,"Diego Laura","Araya","1"
2221,"Isabel","Muñoz Muñoz","1"
2793,"Juan","Flores Martínez","1"
2417,"Pedro","Hernández Torres","1"
2868,"Javier","Contreras Soto","1"
167,"Andrés","Valenzuela","1"
2499,"Antonio Paula","Silva Sepúlveda","1"
1716,"Marta","Rodríguez Rojas","1"
2898,"Javier Marta","Torres López","1"
2327,"José","Martínez","1"
662,"Carmen","Espinoza","1"
2729,"Andrés","Contreras","1"
2137,"Juan","Martínez Fuentes","1"
1441,"Daniel","Araya López","1"
2718,"Javier Laura","López Silva","1"
2955,"Daniel","Fuentes Díaz","1"
1019,"Juan","González","1"
46,"María","Fuentes Soto","1"
2317,"José Isabel","Fuentes","1"
260,"Luis","González Morales","1"
2820,"María","Rodríguez","1"
1459,"Isabel","Pérez","1"
411,"María","Soto Martínez","1"
1868,"Francisco José","Torres Martínez","1"
425,"Laura Pedro","Torres Fuentes","1"
672,"Carmen","Sepúlveda González","1"
2805,"Pedro Carmen","Díaz Flores","1"
2219,"Laura María","Martínez","1"
1643,"José","Rodríguez Contreras","1"
885,"Ana","Espinoza González","1"
549,"Miguel","Martínez","1"
653,"Lucía Laura","Contreras Muñoz","1"
2744,"Juan Paula","Contreras","1"
1275,"Francisco","Rodríguez González","1"
1339,"Marta","López","1"
130,"Luis","Muñoz Silva","1"
625,"Sofía","Díaz Hernández","1"
1155,"Lucía","González Rojas","1"
617,"Andrés","Silva","1"
819,"Sofía","Pérez Morales","1"
2522,"Carmen","Pérez Contreras","1"
1983,"Miguel","Martínez Sepúlveda","1"
1797,"Diego","Araya López","1"
299,"Antonio","Araya","1"
1113,"Carmen Javier","Martínez Hernández","1"
605,"Juan","Fuentes Araya","1"
345,"María Isabel","Morales Rodríguez","1"
2471,"Sofía","Hernández","1"
1702,"Sofía","Rodríguez Pérez","1"
971,"Laura","Muñoz Silva","1"
2761,"Diego Antonio","Rodríguez Contreras","1"
135,"José","Contreras","1"
1064,"Antonio","López López","1"
454,"Isabel","Martínez","1"
2077,"Javier","González","1"
482,"José Javier","Contreras González","1"
227,"Carmen","Hernández","1"
500,"Diego","Martínez Espinoza","1"
1204,"Diego","Contreras Torres","1"
2590,"Ana Daniel","Valenzuela Silva","1"
73,"Paula Andrés","López Espinoza","1"
2372,"Juan Lucía","Sepúlveda Araya","1"
2738,"Francisco","Pérez López","1"
1236,"Andrés","Martínez Silva","1"
875,"Juan Lucía","Díaz Hernández","1"
1255,"Isabel","Flores","1"
420,"Laura","Valenzuela","1"
1438,"Carmen","Pérez Araya","1"
1407,"Lucía","López","1"
755,"Francisco","Díaz Sepúlveda","1"
1367,"Francisco","Díaz","1"
61,"Daniel","Flores Morales","1"
244,"Luis","Rojas Contreras","1"
2353,"Laura","Martínez Morales","1"
468,"Laura","Valenzuela Rodríguez","1"
1725,"Laura Miguel","Díaz Soto","1"
1100,"María","Torres Silva","1"
1436,"Daniel","Fuentes Muñoz","1"
1988,"María","Hernández Contreras","1"
397,"Pedro","González Silva","1"
2381,"Andrés","Muñoz","1"
427,"Ana","Rojas Sepúlveda","1"
2008,"Javier","Díaz Muñoz","1"
1228,"Daniel","Espinoza","1"
2424,"Miguel Carmen","Rodríguez Hernández","1"
105,"Carmen","López","1"
2973,"Isabel Andrés","Rodríguez Soto","1"
804,"Laura","Araya González","1"
2573,"Pedro","Pérez Torres","1"
1487,"Francisco","Rodríguez Díaz","1"
991,"Juan","Rodríguez","1"
2487,"Sofía","Valenzuela","1"
327,"Pedro","Pérez","1"
1121,"Luis","Araya Hernández","1"
2262,"Isabel","Rodríguez Pérez","1"
1566,"Andrés Miguel","Araya Rodríguez","1"
372,"Daniel Laura","Torres","1"
1358,"Pedro Laura","Silva Pérez","1"
339,"Sofía","Silva","1"
2287,"Miguel Lucía","Araya Martínez","1"
808,"Pedro","Rodríguez Díaz","1"
383,"Miguel","Rodríguez Contreras","1"
7,"José Antonio","Flores Pérez","1"
757,"Laura","Silva Contreras","1"
827,"Paula","Martínez Martínez","1"
1497,"Laura María","Contreras Araya","1"
1618,"Paula","Contreras Flores","1"
1399,"Laura Marta","Martínez Fuentes","1"
986,"Diego","Morales","1"
857,"Laura Antonio","Morales Rojas","1"
890,"Ana","Silva","1"
1347,"Sofía Laura","Rodríguez Rojas","1"
319,"Paula","Muñoz Morales","1"
1074,"Laura","Silva Rodríguez","1"
1873,"Juan","Pérez Flores","1"
2739,"Isabel Francisco","Torres","1"
2373,"Daniel Ana","Sepúlveda Rojas","1"
2850,"Francisco","Espinoza Morales","1"
2941,"Sofía","Soto Pérez","1"
146,"Antonio","López Espinoza","1"
2720,"Diego","Martínez Flores","1"
2269,"Andrés","Hernández Araya","1"
1660,"María","Contreras González","1"
1183,"Javier María","Soto","1"
1633,"Juan","Hernández Muñoz","1"
1676,"Lucía","Contreras Muñoz","1"
330,"Daniel","Soto González","1"
2832,"Juan","Silva","1"
2141,"Antonio","Flores Sepúlveda","1"
1220,"Andrés","Espinoza","1"
323,"Paula","Valenzuela Torres","1"
613,"María","Rodríguez","1"
1404,"Paula","Muñoz Contreras","1"
615,"José","Rodríguez","1"
1482,"Miguel","Fuentes","1"
2289,"Carmen","Espinoza","1"
964,"Sofía","Silva Contreras","1"
601,"Francisco","Torres Rojas","1"
1623,"María","Silva","1"
2908,"Pedro","Hernández","1"
2337,"Andrés","Díaz","1"
990,"Ana","Rodríguez Hernández","1"
2895,"José Andrés","Fuentes Espinoza","1"
1379,"María","Morales Martínez","1"
2974,"María Sofía","Flores","1"
610,"Diego","Contreras","1"
2056,"Antonio","Soto","1"
2884,"Pedro","Díaz","1"
1981,"José","Valenzuela Espinoza","1"
2280,"Miguel","Soto Torres","1"
2409,"Sofía","Fuentes Valenzuela","1"
1089,"Laura","Muñoz","1"
1070,"Antonio","Soto","1"
2208,"Laura","Silva Soto","1"
917,"Marta","Pérez Díaz","1"
489,"Paula","Sepúlveda Sepúlveda","1"
1029,"Paula","Espinoza Hernández","1"
2282,"Sofía","Rodríguez Torres","1"
1393,"Marta","Araya Rojas","1"
706,"Sofía","Torres","1"
1423,"Andrés","Morales Contreras","1"
542,"Isabel","Silva López","1"
882,"Juan","Rodríguez Araya","1"
1730,"Ana","Rojas Muñoz","1"
833,"Laura","Martínez Martínez","1"
1244,"Isabel","Hernández Flores","1"
1288,"Marta","Morales Hernández","1"
460,"José","Torres","1"
265,"Juan","Flores Martínez","1"
851,"María","Silva","1"
62,"Daniel Antonio","Díaz Rodríguez","1"
1318,"Laura","Flores","1"
2111,"Pedro","Espinoza","1"
1327,"Carmen Lucía","Flores Muñoz","1"
1450,"Diego Juan","Araya","1"
2637,"María","Flores Rojas","1"
183,"Diego","Díaz Contreras","1"
100,"Javier","González Díaz","1"
1225,"María","Silva Araya","1"
150,"María","Fuentes","1"
2933,"Paula","Muñoz","1"
2033,"María","Flores","1"
25,"Diego","González Rojas","1"
122,"Laura","Morales Torres","1"
2207,"Paula","Espinoza López","1"
1420,"Francisco","Díaz Flores","1"
1320,"Laura Marta","Muñoz Hernández","1"
1191,"Paula","Espinoza","1"
901,"Andrés","Silva Araya","1"
2359,"Ana","Sepúlveda González","1"
530,"Marta","Martínez Araya","1"
465,"Andrés Francisco","Valenzuela López","1"
64,"Luis Miguel","Muñoz Rojas","1"
2185,"José Antonio","Hernández Sepúlveda","1"
1181,"Antonio","Díaz","1"
2468,"Isabel","Torres González","1"
2429,"Javier","Díaz","1"
1989,"Marta","López Silva","1"
273,"Miguel Antonio","Valenzuela","1"
1587,"Carmen Carmen","Pérez Morales","1"
1075,"Juan Antonio","Morales González","1"
1128,"Miguel","Rodríguez Díaz","1"
2080,"Andrés","Martínez","1"
