ID;RUN;Nombre;Apellidos;Dirección;Correo Electrónico;Teléfono;tipo;titular;rol;profesión;especialidad;firma;institucion previsional de salud;
861;913232-5;Miguel;Valenzuela;Av. Independencia 11295;miguel.valenzuela@dominiofake.net;982694584;titular;913232-5;Staff médico, paciente;kinesiólogo/a;;;Cruz de Malta S.A.;
863;469788-K;Juan Juan;López;Av. Macul 4304;juan.lópez@correoexample.com;915097741;titular;469788-K;Staff médico, paciente;medico(a);Geriatría;./firma/863;sinsalud S.A.;
872;782965-5;Paula;Rojas Díaz;Av. Grecia 4714;paula.rojas@correoexample.com;949016950;titular;782965-5;Staff médico;medico(a);Infectología;./firma/872;Colmena de avispas S.A.;
879;328342-9;Marta;Valenzuela López;Av. Libertador Bernardo O'Higgins 8598;marta.valenzuela@dominiofake.net;983762164;titular;328342-9;Staff médico, paciente;kinesiólogo/a;;;especial S.A.;
896;116343-4;Laura;Espinoza Morales;Av. Providencia 1152;laura.espinoza@prueba.org;910001068;titular;116343-4;Staff médico;kinesiólogo/a;;;especial S.A.;
913;295777-9;Ana María;Valenzuela Silva;Av. Libertador Bernardo O'Higgins 9378;ana.valenzuela@mailficticio.cl;903100439;titular;295777-9;Staff médico, paciente;medico(a);Neurocirugía;./firma/913;Menos vida S.A.;
929;643537-8;Diego Miguel;Contreras López;Av. Vicuña Mackenna 5483;diego.contreras@mailficticio.cl;946149898;titular;643537-8;Staff médico, paciente;kinesiólogo/a;;;Cruz de Malta S.A.;
931;589565-0;Juan Francisco;Sepúlveda Soto;Av. Recoleta 10884;juan.sepúlveda@dominiofake.net;902501671;titular;589565-0;Staff médico, paciente;kinesiólogo/a;;;Vida uno S.A.;
950;859603-4;Juan;Sepúlveda Soto;Av. Independencia 5612;juan.sepúlveda@prueba.org;916282611;titular;859603-4;Staff médico, paciente;medico(a);Otorrinolaringología;./firma/950;Medibanc S.A.;
973;189823-K;Luis;Fuentes;Av. Grecia 4148;luis.fuentes@correoexample.com;904184246;titular;189823-K;Staff médico;kinesiólogo/a;;;especial S.A.;
982;504437-5;Isabel Luis;Contreras;Av. Libertador Bernardo O'Higgins 5520;isabel.contreras@mailficticio.cl;952995731;titular;504437-5;Staff médico, paciente;medico(a);Infectología;./firma/982;especial S.A.;
986;148665-9;Diego;Morales;Av. Los Leones 5818;diego.morales@dominiofake.net;998297398;titular;148665-9;Staff médico, paciente;medico(a);Infectología;./firma/986;Fundación e imperio;
992;363036-6;Pedro Daniel;Rojas Morales;Av. Apoquindo 8451;pedro.rojas@prueba.org;963813931;titular;363036-6;Staff médico;kinesiólogo/a;;;Medibanc S.A.;
998;889426-4;Luis;Contreras;Av. Independencia 2054;luis.contreras@prueba.org;936562177;titular;889426-4;Staff médico;kinesiólogo/a;;;Cruz pal cielo Ltda.;
1010;898918-4;Isabel;Silva;Av. Independencia 2577;isabel.silva@correoexample.com;939071412;titular;898918-4;Staff médico;kinesiólogo/a;;;especial S.A.;
1023;243727-9;Andrés;Silva Rojas;Av. Manuel Montt 3104;andrés.silva@dominiofake.net;922310585;titular;243727-9;Staff médico;medico(a);Traumatología y Ortopedia;./firma/1023;sinsalud S.A.;
1049;853430-6;Lucía Andrés;Torres Valenzuela;Av. Libertador Bernardo O'Higgins 4519;lucía.torres@mailficticio.cl;930315491;titular;853430-6;Staff médico, paciente;medico(a);Enfermedades Respiratorias Adulto;./firma/1049;Fundación e imperio;
1096;555460-8;Luis;Rodríguez;Av. Libertador Bernardo O'Higgins 7124;luis.rodríguez@prueba.org;973100581;titular;555460-8;Staff médico;medico(a);Cardiología;./firma/1096;Cruz pal cielo Ltda.;
1111;253606-4;Ana;Rojas Valenzuela;Av. Macul 1193;ana.rojas@correoexample.com;945562629;titular;253606-4;Staff médico;medico(a);Otorrinolaringología;./firma/1111;Cruz de Malta S.A.;
1121;862633-2;Luis;Araya Hernández;Av. Apoquindo 8770;luis.araya@mailficticio.cl;907132938;titular;862633-2;Staff médico, paciente;kinesiólogo/a;;;Colmena de avispas S.A.;
1129;284894-5;Diego;Fuentes Sepúlveda;Av. La Florida 6759;diego.fuentes@dominiofake.net;952411099;titular;284894-5;Staff médico, paciente;kinesiólogo/a;;;Colmena de avispas S.A.;
1130;353232-1;José;Espinoza Espinoza;Av. Macul 1403;josé.espinoza@correoexample.com;912288875;titular;353232-1;Staff médico, paciente;kinesiólogo/a;;;Medibanc S.A.;
1197;131376-2;Andrés Francisco;Torres;Av. Apoquindo 2136;andrés.torres@dominiofake.net;982766693;titular;131376-2;Staff médico, paciente;kinesiólogo/a;;;Salud Ltda.;
1200;295009-K;Lucía;Fuentes Morales;Av. Macul 5029;lucía.fuentes@dominiofake.net;958060389;titular;295009-K;Staff médico;medico(a);Endocrinología Adulto;./firma/1200;Colmena de avispas S.A.;
1207;873966-8;Marta Paula;Araya;Av. Grecia 5947;marta.araya@dominiofake.net;925378220;titular;873966-8;Staff médico;medico(a);Genética Clínica;./firma/1207;especial S.A.;
1237;301273-5;Paula;Muñoz Fuentes;Av. Macul 4104;paula.muñoz@correoexample.com;945136203;titular;301273-5;Staff médico;medico(a);Geriatría;./firma/1237;sinsalud S.A.;
1243;569790-5;Carmen;Flores Espinoza;Av. Matta 10716;carmen.flores@correoexample.com;952851512;titular;569790-5;Staff médico, paciente;medico(a);Urología;./firma/1243;Medibanc S.A.;
1263;907090-7;Andrés Juan;Flores;Av. Providencia 9437;andrés.flores@correoexample.com;935502029;titular;907090-7;Staff médico;kinesiólogo/a;;;Salud Ltda.;
1266;744154-1;Daniel Ana;Hernández Rodríguez;Av. Irarrazabal 9014;daniel.hernández@dominiofake.net;964213103;titular;744154-1;Staff médico;medico(a);Hematología;./firma/1266;sinsalud S.A.;
1284;285376-0;Lucía;Torres Sepúlveda;Av. Providencia 1702;lucía.torres@dominiofake.net;976423491;titular;285376-0;Staff médico, paciente;medico(a);Oftalmología;./firma/1284;Cruz de Malta S.A.;
1321;413462-1;Andrés Diego;Muñoz López;Av. Macul 3881;andrés.muñoz@prueba.org;954547123;titular;413462-1;Staff médico, paciente;medico(a);Enfermedades Respiratorias Adulto;./firma/1321;Colmena de avispas S.A.;
1335;808670-2;Carmen Laura;Muñoz Flores;Av. Pajaritos 8732;carmen.muñoz@dominiofake.net;976107736;titular;808670-2;Staff médico, paciente;medico(a);Enfermedades Respiratorias Adulto;./firma/1335;sinsalud S.A.;
1377;596671-K;Ana Andrés;Valenzuela;Av. Macul 6404;ana.valenzuela@mailficticio.cl;913654490;titular;596671-K;Staff médico, paciente;medico(a);Urología;./firma/1377;Menos vida S.A.;
1381;352626-7;Carmen;Pérez Valenzuela;Av. Libertador Bernardo O'Higgins 1416;carmen.pérez@correoexample.com;918997997;titular;352626-7;Staff médico;kinesiólogo/a;;;Fundación e imperio;
1394;537130-9;Laura Lucía;Araya;Av. Independencia 8975;laura.araya@dominiofake.net;940227757;titular;537130-9;Staff médico;medico(a);Medicina Familiar;./firma/1394;Cruz pal cielo Ltda.;
1395;528668-9;Paula Sofía;Sepúlveda;Av. Pajaritos 4199;paula.sepúlveda@prueba.org;971871989;titular;528668-9;Staff médico, paciente;medico(a);Enfermedades Respiratorias Adulto;./firma/1395;Colmena de avispas S.A.;
1414;842028-9;María;Muñoz Soto;Av. Recoleta 6210;maría.muñoz@dominiofake.net;968815652;titular;842028-9;Staff médico, paciente;medico(a);Reumatología;./firma/1414;Fundación e imperio;
1437;779047-3;Luis;Espinoza;Av. Vicuña Mackenna 10938;luis.espinoza@prueba.org;984403455;titular;779047-3;Staff médico;kinesiólogo/a;;;Cruz de Malta S.A.;
1438;162981-6;Carmen;Pérez Araya;Av. Apoquindo 3973;carmen.pérez@prueba.org;982553068;titular;162981-6;Staff médico, paciente;kinesiólogo/a;;;Vida uno S.A.;
1454;693224-K;Miguel;Díaz Morales;Av. Irarrazabal 8030;miguel.díaz@prueba.org;957004024;titular;693224-K;Staff médico;medico(a);Diabetología;./firma/1454;Vida uno S.A.;
1472;436747-2;María Marta;Muñoz;Av. Grecia 4896;maría.muñoz@dominiofake.net;960493168;titular;436747-2;Staff médico;medico(a);Coloproctología;./firma/1472;Cruz pal cielo Ltda.;
1474;124037-4;María;Fuentes;Av. Vicuña Mackenna 10612;maría.fuentes@mailficticio.cl;940097420;titular;124037-4;Staff médico;medico(a);Endocrinología Adulto;./firma/1474;especial S.A.;
1478;662027-2;Paula;Martínez Torres;Av. Libertador Bernardo O'Higgins 10824;paula.martínez@prueba.org;977356997;titular;662027-2;Staff médico;medico(a);Genética Clínica;./firma/1478;Colmena de avispas S.A.;
1480;799368-4;Miguel;González;Av. Los Leones 3598;miguel.gonzález@dominiofake.net;965863724;titular;799368-4;Staff médico;kinesiólogo/a;;;Salud Ltda.;
1481;310621-7;Marta;Morales Rojas;Av. Independencia 8670;marta.morales@correoexample.com;978514797;titular;310621-7;Staff médico, paciente;medico(a);Nefrología Adulto;./firma/1481;Menos vida S.A.;
1485;319555-4;Sofía;Hernández Hernández;Av. Grecia 9363;sofía.hernández@correoexample.com;966549496;titular;319555-4;Staff médico, paciente;kinesiólogo/a;;;sinsalud S.A.;
1490;875560-4;Daniel;Sepúlveda Espinoza;Av. Los Leones 8152;daniel.sepúlveda@mailficticio.cl;903111745;titular;875560-4;Staff médico, paciente;kinesiólogo/a;;;sinsalud S.A.;
1493;217593-2;Andrés María;Muñoz;Av. Irarrazabal 43;andrés.muñoz@correoexample.com;911412674;titular;217593-2;Staff médico, paciente;medico(a);Cardiología;./firma/1493;Vida uno S.A.;
1505;205634-8;Juan;Valenzuela;Av. Manuel Montt 9147;juan.valenzuela@prueba.org;958664410;titular;205634-8;Staff médico, paciente;kinesiólogo/a;;;especial S.A.;
1532;654272-7;Laura;Hernández;Av. Recoleta 7;laura.hernández@correoexample.com;953636476;titular;654272-7;Staff médico, paciente;kinesiólogo/a;;;Colmena de avispas S.A.;
1536;458092-3;Antonio;Martínez Torres;Av. Grecia 8078;antonio.martínez@prueba.org;929023721;titular;458092-3;Staff médico, paciente;medico(a);Inmunología;./firma/1536;Vida uno S.A.;
1544;481115-1;María;Araya Sepúlveda;Av. La Florida 1519;maría.araya@mailficticio.cl;961296672;titular;481115-1;Staff médico, paciente;kinesiólogo/a;;;Salud Ltda.;
1555;535844-2;Sofía;Contreras Hernández;Av. Pajaritos 7949;sofía.contreras@dominiofake.net;954781454;titular;535844-2;Staff médico;kinesiólogo/a;;;Fundación e imperio;
1568;754721-8;Diego;Martínez;Av. Apoquindo 11729;diego.martínez@mailficticio.cl;996787302;titular;754721-8;Staff médico, paciente;medico(a);Inmunología;./firma/1568;Medibanc S.A.;
1601;634369-4;Pedro;Araya Espinoza;Av. Manuel Montt 8330;pedro.araya@prueba.org;982128103;titular;634369-4;Staff médico;kinesiólogo/a;;;Cruz de Malta S.A.;
1645;364121-K;Marta;Valenzuela Soto;Av. Manuel Montt 5809;marta.valenzuela@correoexample.com;902362194;titular;364121-K;Staff médico, paciente;kinesiólogo/a;;;Medibanc S.A.;
1650;217526-6;Javier Antonio;Hernández Muñoz;Av. Recoleta 11699;javier.hernández@mailficticio.cl;929219433;titular;217526-6;Staff médico;medico(a);Psiquiatría Adultos;./firma/1650;Cruz de Malta S.A.;
1659;181094-4;Juan;Rojas Flores;Av. Independencia 4861;juan.rojas@prueba.org;976902694;titular;181094-4;Staff médico, paciente;kinesiólogo/a;;;Colmena de avispas S.A.;
1662;434665-3;Ana;Contreras Torres;Av. Irarrazabal 1926;ana.contreras@dominiofake.net;970046956;titular;434665-3;Staff médico, paciente;kinesiólogo/a;;;FONASA;
1694;248177-4;Ana;Soto Espinoza;Av. Apoquindo 6016;ana.soto@correoexample.com;932696454;titular;248177-4;Staff médico, paciente;kinesiólogo/a;;;Salud Ltda.;
1703;539858-4;Javier;González;Av. Independencia 3682;javier.gonzález@dominiofake.net;942442727;titular;539858-4;Staff médico, paciente;kinesiólogo/a;;;especial S.A.;
1710;483293-0;Antonio;Fuentes Fuentes;Av. Tobalaba 6063;antonio.fuentes@dominiofake.net;935397062;titular;483293-0;Staff médico, paciente;medico(a);Coloproctología;./firma/1710;Salud Ltda.;
1718;369238-8;Diego;Soto Díaz;Av. Providencia 9952;diego.soto@mailficticio.cl;974263209;titular;369238-8;Staff médico, paciente;medico(a);Genética Clínica;./firma/1718;especial S.A.;
1722;436305-1;Diego;Espinoza Hernández;Av. Macul 1397;diego.espinoza@correoexample.com;998545164;titular;436305-1;Staff médico;kinesiólogo/a;;;Salud Ltda.;
1728;699028-2;Ana Daniel;Pérez Muñoz;Av. Independencia 6005;ana.pérez@prueba.org;988550208;titular;699028-2;Staff médico;medico(a);Hematología;./firma/1728;Salud Ltda.;
1733;474320-2;Carmen Javier;Soto Torres;Av. Independencia 8096;carmen.soto@prueba.org;967266502;titular;474320-2;Staff médico;medico(a);Neurología Adultos;./firma/1733;Menos vida S.A.;
1783;390990-5;Andrés;Araya Sepúlveda;Av. Matta 9567;andrés.araya@prueba.org;976274119;titular;390990-5;Staff médico, paciente;medico(a);Oftalmología;./firma/1783;Cruz de Malta S.A.;
1789;160706-5;Laura;Soto;Av. Macul 5712;laura.soto@correoexample.com;902053521;titular;160706-5;Staff médico, paciente;kinesiólogo/a;;;Medibanc S.A.;
1800;245808-K;Francisco;González;Av. Libertador Bernardo O'Higgins 3534;francisco.gonzález@correoexample.com;918731098;titular;245808-K;Staff médico;kinesiólogo/a;;;especial S.A.;
1805;277294-9;Lucía;Hernández Muñoz;Av. Providencia 1963;lucía.hernández@correoexample.com;945318323;titular;277294-9;Staff médico;medico(a);Obstetricia y Ginecología;./firma/1805;Salud Ltda.;
1807;325621-9;Ana;Pérez Sepúlveda;Av. Pajaritos 7067;ana.pérez@mailficticio.cl;930560440;titular;325621-9;Staff médico;medico(a);Cardiología;./firma/1807;Menos vida S.A.;
1840;711099-5;Laura;López Rojas;Av. Grecia 640;laura.lópez@correoexample.com;917141803;titular;711099-5;Staff médico, paciente;kinesiólogo/a;;;Salud Ltda.;
1858;530178-5;José Luis;Silva;Av. Providencia 792;josé.silva@dominiofake.net;987903987;titular;530178-5;Staff médico;medico(a);Neonatología;./firma/1858;Cruz de Malta S.A.;
1864;525206-7;Pedro María;Martínez Rojas;Av. Matta 9727;pedro.martínez@correoexample.com;975781905;titular;525206-7;Staff médico;medico(a);Geriatría;./firma/1864;sinsalud S.A.;
